# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.4593966   0.15605791 -3.02679189]
# Fvar:0.889744514279849
# FoM:47.14816724953128
# seed: 819692
# seed_gaps: 599353
# Time	Value	Error
5.500000000000000000e+01 4.393168115029147391e-01 1.911430714544888262e-02
5.875000000000000000e+01 1.951536902467037926e+00 2.201773123650175093e-02
5.900000000000000000e+01 2.082065476838284912e+00 2.491201954366857596e-02
6.025000000000000000e+01 1.976999231468259399e+00 2.436545775021264557e-02
6.125000000000000000e+01 1.363628955034398071e+00 1.565756721853164835e-02
6.400000000000000000e+01 3.539883740055724815e+00 2.046372929883082462e-02
6.425000000000000000e+01 3.230257038465457420e+00 3.820900329554176300e-02
6.675000000000000000e+01 1.169759557239121728e+00 2.076340139745003546e-02
6.825000000000000000e+01 9.199913383861479943e-01 1.176615920415011694e-02
7.000000000000000000e+01 6.533369518714685631e-01 2.461238405732928819e-02
7.075000000000000000e+01 6.963097057696725489e-01 1.089341805701784203e-02
7.250000000000000000e+01 2.428946257375787510e-01 5.940611731561957001e-03
7.300000000000000000e+01 2.420818936963096690e-01 1.384970515894672072e-02
7.325000000000000000e+01 2.217903501413124312e-01 9.058288005629171885e-03
7.350000000000000000e+01 2.825960345821118547e-01 1.058109941255558524e-02
7.675000000000000000e+01 1.038415793078281357e+00 1.302900711587662644e-02
7.850000000000000000e+01 4.672418717941506650e-01 7.996370421340239648e-03
8.075000000000000000e+01 3.266646082820574559e-01 1.968447843988630971e-02
8.150000000000000000e+01 2.793679316426047055e-01 1.103221173382076120e-02
8.325000000000000000e+01 1.195631296977170299e+00 4.043725063844731682e-02
8.550000000000000000e+01 2.482503175356310710e+00 1.942865863051535316e-02
8.650000000000000000e+01 9.871072135855747387e-01 2.128195488813686490e-02
8.900000000000000000e+01 1.336336703020988281e+00 3.009311957396490142e-02
9.100000000000000000e+01 4.247518777537018786e-01 7.788325574513140642e-03
9.200000000000000000e+01 3.831097201580804246e-01 1.979384611988145234e-02
9.250000000000000000e+01 2.505485410902062449e-01 1.271136813930174962e-02
9.325000000000000000e+01 2.417908897916070110e-01 1.276709824753935983e-02
9.400000000000000000e+01 3.697332259894702822e-01 1.096206614113419409e-02
9.550000000000000000e+01 6.410750085437149082e-01 1.357988943629799897e-02
9.575000000000000000e+01 5.410267100641381610e-01 7.445241707752858935e-03
9.800000000000000000e+01 7.579729827176650003e-01 2.440146941388034174e-02
9.825000000000000000e+01 9.596363871420684477e-01 3.185902702805998299e-02
9.875000000000000000e+01 1.222753238156082611e+00 3.829275210675131547e-02
9.925000000000000000e+01 1.275014437546688528e+00 1.415512359526566871e-02
1.030000000000000000e+02 1.969447397713715686e+00 3.970321543350958937e-02
1.050000000000000000e+02 1.579820938649143303e+00 1.559601721054578415e-02
1.065000000000000000e+02 1.759544581582707767e+00 2.604887464373132483e-02
1.080000000000000000e+02 3.872673624504937795e+00 5.352950588394434633e-02
1.100000000000000000e+02 1.135105870529103722e+00 3.994772287762959895e-02
1.102500000000000000e+02 9.098471999272320643e-01 1.478037679248216801e-02
1.105000000000000000e+02 1.077009970353439705e+00 1.517632559265849612e-02
1.112500000000000000e+02 7.996752931338463322e-01 1.914020107590063552e-02
1.120000000000000000e+02 6.123714199430968508e-01 8.895097309037916164e-03
1.122500000000000000e+02 5.233273947757580702e-01 1.626442572023946778e-02
1.145000000000000000e+02 4.343068433424870922e-01 1.635096187206762017e-02
1.150000000000000000e+02 6.355100921881774445e-01 1.483879246607187376e-02
1.162500000000000000e+02 1.727966556975658152e+00 4.339523219488081174e-02
1.185000000000000000e+02 3.585740315140554246e-01 9.005157023467248723e-03
1.187500000000000000e+02 4.142563752414526457e-01 9.405929918209024812e-03
1.215000000000000000e+02 8.973402904478148256e-01 1.005872356200374768e-02
1.217500000000000000e+02 9.473875430358088545e-01 1.840355238463512941e-02
1.222500000000000000e+02 1.562954940570475015e+00 3.087936479822513472e-02
1.225000000000000000e+02 1.602533645877747048e+00 3.436010619932525906e-02
1.232500000000000000e+02 1.265219783050264057e+00 1.909098772607667818e-02
1.247500000000000000e+02 1.492151211923348653e+00 2.985377768298864976e-02
1.260000000000000000e+02 1.752360695549958880e+00 2.505073825301150706e-02
1.267500000000000000e+02 1.396345433304079231e+00 1.818243972212148230e-02
1.272500000000000000e+02 1.969889116268000562e+00 4.079675328170902920e-02
1.305000000000000000e+02 1.333362504400993798e+00 1.181106955582445460e-02
1.317500000000000000e+02 3.671612770334065634e-01 9.492579483196964332e-03
1.320000000000000000e+02 3.478484264610426924e-01 1.122304962105623825e-02
1.347500000000000000e+02 3.471926151080292899e-01 1.243694612077614857e-02
1.372500000000000000e+02 1.778862236764690019e-01 7.193619750117308601e-03
1.412500000000000000e+02 1.718425168413479920e-01 4.355223888154504015e-03
1.417500000000000000e+02 1.605753737247412327e-01 1.037187691780237959e-02
1.425000000000000000e+02 2.940092526882248092e-01 6.799831712377412372e-03
1.432500000000000000e+02 3.114838104271657193e-01 8.815787608904369910e-03
1.462500000000000000e+02 3.433656205701483000e-01 1.097778071309672351e-02
1.467500000000000000e+02 3.765464020597719119e-01 1.231859968409861061e-02
1.485000000000000000e+02 1.431650162550955896e+00 1.686053823139573027e-02
1.530000000000000000e+02 3.641594735359263146e-01 6.705883017773251777e-03
1.560000000000000000e+02 1.359832632364813332e+00 1.715607510111154602e-02
1.562500000000000000e+02 1.239197125332212490e+00 3.103154136677680960e-02
1.592500000000000000e+02 2.491320628830523964e-01 8.917102041184652578e-03
1.595000000000000000e+02 2.121134817877399770e-01 1.659553394691856698e-02
1.600000000000000000e+02 2.648686105699658566e-01 1.784382195551706754e-02
1.615000000000000000e+02 5.378595701201606127e-01 8.633779396843732634e-03
1.625000000000000000e+02 6.566696185614419035e-01 9.074288895062464916e-03
1.635000000000000000e+02 6.814922527375772976e-01 1.611711707376415476e-02
1.667500000000000000e+02 9.591895569320254555e-01 2.862447742552609933e-02
1.672500000000000000e+02 5.972998017679873595e-01 8.550685986371486802e-03
1.675000000000000000e+02 4.376097581696625771e-01 1.226036612947719630e-02
1.717500000000000000e+02 5.156829992108179495e-01 1.123667857468830557e-02
1.720000000000000000e+02 6.086763132114380026e-01 1.748070930081584498e-02
1.722500000000000000e+02 7.664171667746516592e-01 2.076100313710450493e-02
1.735000000000000000e+02 4.353423541893546300e-01 6.801534448793724978e-03
1.747500000000000000e+02 6.972171717931336943e-01 2.566562272531328764e-02
1.750000000000000000e+02 8.914486908103801399e-01 1.556342382758438454e-02
1.775000000000000000e+02 1.878905399000697196e+00 2.075936543058885808e-02
1.792500000000000000e+02 1.288074823184504947e+00 1.597930220692168543e-02
1.797500000000000000e+02 1.401902395751544628e+00 2.753191442417240661e-02
1.800000000000000000e+02 1.527698663615881580e+00 2.438543362195035730e-02
1.802500000000000000e+02 2.025101671635388012e+00 3.578174642937297784e-02
1.805000000000000000e+02 2.104253843937958557e+00 1.932491011704662309e-02
1.840000000000000000e+02 9.054309499531758565e-01 1.584780667641684168e-02
1.880000000000000000e+02 5.865722655285421361e-01 2.658475423780202324e-02
1.882500000000000000e+02 5.821939459610683265e-01 7.998044134471820124e-03
1.895000000000000000e+02 3.673563717779592674e-01 6.189470483119278825e-03
1.917500000000000000e+02 1.227536975241832057e-01 4.502392577534722329e-03
1.920000000000000000e+02 1.039378895027237432e-01 5.440853123833713952e-03
1.927500000000000000e+02 1.068121574663897649e-01 3.698843637601112368e-03
1.942500000000000000e+02 1.734157850027117087e-01 1.529472427907605132e-02
1.947500000000000000e+02 1.390314157391097372e-01 4.481007917084303856e-03
1.955000000000000000e+02 2.678714275502783737e-01 9.827108517740833910e-03
1.957500000000000000e+02 3.767641550390390948e-01 9.211833597309216845e-03
1.982500000000000000e+02 8.726981259649945200e-01 3.159487387665146224e-02
1.987500000000000000e+02 6.145668903684160522e-01 9.496823885374637911e-03
1.992500000000000000e+02 3.509629579093057616e-01 1.410943953283594517e-02
2.002500000000000000e+02 2.398797056404058381e-01 1.478045922509285508e-02
2.037500000000000000e+02 8.280534377682862157e-01 2.381674482050711791e-02
2.045000000000000000e+02 7.052318826627763659e-01 8.904155721051186176e-03
2.057500000000000000e+02 7.612197371341771213e-01 1.352600916938466631e-02
2.070000000000000000e+02 8.186785454330924860e-01 1.024142743575233265e-02
2.075000000000000000e+02 5.445795310370606934e-01 2.232602894413727654e-02
2.097500000000000000e+02 4.721346077421102461e-01 2.067374599161710125e-02
2.125000000000000000e+02 1.078212770792031705e+00 1.154009994957407546e-02
2.130000000000000000e+02 1.158222996153763118e+00 2.544180215091049191e-02
2.152500000000000000e+02 4.582552234871848373e-01 1.321428200007602680e-02
2.157500000000000000e+02 4.623616493883747069e-01 7.756786360413935565e-03
2.162500000000000000e+02 4.230877407829282122e-01 1.894262410645567232e-02
2.217500000000000000e+02 3.390246716918551839e-01 6.859960578717909548e-03
2.222500000000000000e+02 9.086188585986509914e-01 2.175696526614110879e-02
2.225000000000000000e+02 1.163209682580608861e+00 2.222267104248984090e-02
2.270000000000000000e+02 1.455220697214631542e+00 3.184083854191103319e-02
2.307500000000000000e+02 8.653756884691694573e-01 2.173308593912462450e-02
2.310000000000000000e+02 1.139088181248377962e+00 1.319485213457019003e-02
2.332500000000000000e+02 1.851272525311207673e+00 2.803815554247764824e-02
2.342500000000000000e+02 1.131634748282622116e+00 1.532994188389895200e-02
2.345000000000000000e+02 1.061554425343494534e+00 2.234799036705372929e-02
2.355000000000000000e+02 1.214868968196915588e+00 1.356341377555173380e-02
2.365000000000000000e+02 1.461909105368691009e+00 1.313131724166478019e-02
2.367500000000000000e+02 1.090554346098606464e+00 1.638926738884531956e-02
2.387500000000000000e+02 2.818398610641422164e-01 1.092829844538954591e-02
2.395000000000000000e+02 3.705400978276741086e-01 1.675102036052872681e-02
2.405000000000000000e+02 4.848017843901810675e-01 2.004998711438074621e-02
2.407500000000000000e+02 7.705716454536682969e-01 2.378437227915287597e-02
2.415000000000000000e+02 1.462102499628928909e+00 2.945436660207186030e-02
2.450000000000000000e+02 5.098262774402594344e-01 1.578673591763519318e-02
2.462500000000000000e+02 3.051670757165423908e-01 1.552564815193810746e-02
2.465000000000000000e+02 2.459553025743935195e-01 1.393319964141860080e-02
2.497500000000000000e+02 2.147285074583048736e+00 2.831271238293359138e-02
2.510000000000000000e+02 2.104424316047115884e+00 2.604547356912528810e-02
2.512500000000000000e+02 1.706806188503318555e+00 2.463808152650538014e-02
2.567500000000000000e+02 1.109169564262469265e+00 2.490725646670522916e-02
2.570000000000000000e+02 7.733396493869155730e-01 1.862360700297484642e-02
2.577500000000000000e+02 6.672694265536663893e-01 1.947094838632720815e-02
2.580000000000000000e+02 7.346041408193589861e-01 1.785131317198799736e-02
2.585000000000000000e+02 5.610146715493040670e-01 1.410877100508983392e-02
2.607500000000000000e+02 1.793806070982300882e-01 6.461848996840328235e-03
2.637500000000000000e+02 1.204639915069090739e+00 1.265311969358331144e-02
2.642500000000000000e+02 7.739283991623249204e-01 1.526920502755113422e-02
2.665000000000000000e+02 6.565749581221347331e-01 2.065174308770986386e-02
2.700000000000000000e+02 6.286237016810549694e-01 1.035610312816700671e-02
2.702500000000000000e+02 7.479406101525595263e-01 2.409632539775198590e-02
